558;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.61;ddt0-d0;
567;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.61;ddt0-d0;
576;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.60;ddt0-d0;
585;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.61;ddt0-d0;
594;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.60;ddt0-d0;
603;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.61;ddt0-d0;
612;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.61;ddt0-d0;
621;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.60;ddt0-d0;
630;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.13-vc4.61;ddt0-d0;
639;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.61;ddt0-d0;
648;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.61;ddt0-d0;
657;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.60;ddt0-d0;
666;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.60;ddt0-d0;
675;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.61;ddt0-d0;
684;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.61;ddt0-d0;
693;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.61;ddt0-d0;
702;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.61;ddt0-d0;
711;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.61;ddt0-d0;
720;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.61;ddt0-d0;
729;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.61;ddt0-d0;
738;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.60;ddt0-d0;
747;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.61;ddt0-d0;
756;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.61;ddt0-d0;
765;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.61;ddt0-d0;
774;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.61;ddt0-d0;
783;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.60;ddt0-d0;
